Product Name,Asin,SKU,Brand,Review Rate,Cost,Shipping Cost,Main Category Id,Sub Category Id,Min Price,Price,Max Price,Desi,Stock,Amazon Commission,Out Of Criteria Reason
"AMBIANT PET FRIENDLY SOLID COLOR AREA RUGS CRANBERRY - 72"" X 144"" HALF ROUND, STAIN & FADE RESISTANT, PERFECT FOR INDOOR WEDDING DECOR, CONTEMPORARY STYLE, FOR BEDROOM, LIVING ROOM",B076HS9C5N,YUZDENE_B076HS9C5N,AMBIANT,4.00,0.00,,,,566.00,646.85,646.85,36,0,26.42,
"AMBIANT PET FRIENDLY SOLID COLOR AREA RUGS BROWN - 6' ROUND, INDOOR, STAIN & FADE RESISTANT, PERFECT FOR LIVING ROOM, BEDROOM, DINING ROOM, ENTRYWAY, PET & KIDS FRIENDLY RUG, WEDDING, MADE IN USA",B06X16B4TH,YUZDENE_B06X16B4TH,AMBIANT,4.00,0.00,,,,275.19,314.51,314.51,18,0,12.84,
SCUBAPRO JET SPORT FIN,B015RJPY6I,YUZDENE_B015RJPY6I,SCUBAPRO,4.50,119.00,0.00,,,767.37,876.99,876.99,12,0,35.81,
"LE CREUSET STONEWARE UTENSIL CROCK, 2.75 QT., FLAME",B006Y401K0,YUZDENE_B006Y401K0,LE CREUSET,4.80,55.95,0.00,,,396.80,396.80,453.48,4,0,16.20,
TUFF SUPPORT 2 PIECES (SET) LIFTGATE LIFT FITS 2011 TO 2014 KIA SORENTO WITHOUT POWER - ONLY REPLACES OE#817711U000,B00QXSTZAE,YUZDENE_B00QXSTZAE,TUFF SUPPORT,4.50,39.17,0.00,,,279.82,319.80,319.80,2,0,13.06,
"RIVERBROOK HOME 8100 POLYESTER COMFORTER SET, QUEEN, 9-PIECE, HESTON - PLATINUM",B01KZ5ZUUY,YUZDENE_B01KZ5ZUUY,RIVERBROOK HOME,1.00,157.99,0.00,,,1396.75,1596.29,1596.29,47,0,65.19,
UNIQUE LOOM OUTDOOR BOTANICAL COLLECTION FLORAL ABSTRACT TRANSITIONAL INDOOR AND OUTDOOR FLATWEAVE YELLOW AREA RUG (9' X 12'),B01K6CEJ4O,YUZDENE_B01K6CEJ4O,UNIQUE LOOM,4.10,0.00,,,,337.72,385.97,385.97,25,0,15.76,
"SCHLAGE CENTURY SINGLE CYLINDER HANDLESET AND ELAN LEVER, SATIN CHROME (F60 CEN 626 ELA)",B004VFPMV2,YUZDENE_B004VFPMV2,SCHLAGE,4.10,0.00,,,,176.14,201.31,201.31,6,0,8.22,
"ICONIC HOME MARILYN BENCH OTTOMAN FAUX FUR BRASS FINISHED STAINLESS STEEL METAL FRAME, MODERN CONTEMPORARY, GREY",B0747Z4N3W,YUZDENE_B0747Z4N3W,ICONIC HOME,4.20,0.00,,,,696.49,795.99,795.99,49,0,32.51,
"BLUE SEA SYSTEMS 7649 MINI ADD-A-BATTERY KIT, 65A",B00BFVHDNA,YUZDENE_B00BFVHDNA,BLUE SEA SYSTEMS,4.80,129.23,0.00,,,688.46,688.46,786.81,2,20,28.11,
"CHICAGO CUTLERY BELDEN 15 PIECE PREMIUM KITCHEN KNIFE SET WITH CHERRY-STAIN BLOCK, STAINLESS STEEL BLADES TO RESIST RUST, STAINS, AND PITTING, KNIVES SET FOR KITCHEN",B0099P4NJ6,YUZDENE_B0099P4NJ6,CHICAGO CUTLERY,4.60,62.99,0.00,,,507.01,579.44,579.44,10,0,23.66,
CUSHCORE TYRE INSERT SET,B075RPLQ7V,YUZDENE_B075RPLQ7V,CUSHCORE,4.70,0.00,0.00,,,159.81,182.64,182.64,5,0,7.46,
FRENCHI FURNITURE HOME FURNISHING KID'S 3-TIER WALL SHELVES,B01M0QAC38,YUZDENE_B01M0QAC38,FRENCHI FURNITURE,3.60,30.06,0.00,,,296.20,338.52,338.52,5,0,13.82,
"RDX WOMEN BOXING GLOVES FOR TRAINING MUAY THAI MAYA HIDE LEATHER LADIES MITTS FOR FIGHTING, KICKBOXING, SPARRING EGO GLOVE FOR PUNCH BAG, FOCUS PADS AND DOUBLE END BALL PUNCHING",B00XST8WCS,YUZDENE_B00XST8WCS,RDX,4.70,42.99,0.00,,,306.23,349.98,349.98,3,5,14.29,
"EKENA MILLWORK PNL12X20AS-01-CASE-2 ASHFORD MOLDED CLASSIC WAINSCOT WALL PANEL, 12""W X 20""H X 1/2""P, FACTORY PRIMED WHITE, 2 COUNT",B01HHIINV0,YUZDENE_B01HHIINV0,EKENA MILLWORK,3.70,0.00,,,,111.17,127.05,127.05,3,0,5.19,
"ALPINESTARS 22230171100-44 MEN’S MOTORCYCLE BOOT, BLACK/BLACK, 9.5 UK",B01N8RML0A,YUZDENE_B01N8RML0A,ALPINESTARS,4.60,390.51,,,,1995.33,2280.38,2280.38,11,0,93.12,
ELING MASS AIR FLOW SENSOR MAF SENSOR MD336482 E5T08071,B075D4W93M,YUZDENE_B075D4W93M,ELING,4.20,104.39,0.00,,,575.75,658.00,658.00,2,0,26.87,
"LEEWADEE MEDITATION CUSHION SET – 1 ROUND ZAFU MEDITATION PILLOW AND 1 SQUARE ROLL-UP ZABUTON MEDITATION MAT, PILLOWS BUNDLE FILLED WITH KAPOK, AUBURN PINK",B06Y5K3T56,YUZDENE_B06Y5K3T56,LEEWADEE,4.70,89.99,0.00,,,1004.04,1004.04,1147.47,38,0,41.00,
CUESOUL 90% PROFESSIONAL TUNGSTEN STEEL TIP DARTS 22/24/26 GRAMS-PRECISE BARRELS WITH BLACK DART CASE/LUXURY DART CASE 26G,B075FPWCQ3,YUZDENE_B075FPWCQ3,CUESOUL,4.50,45.12,0.00,,,306.82,350.65,350.65,2,0,14.32,
TENG TOOLS – HEX KEY 12 MM,B00CYLNF7S,YUZDENE_B00CYLNF7S,TENG TOOLS,4.70,10.55,0.00,,,149.96,171.38,171.38,2,0,7.00,
KBS COATINGS 4210 SAFETY BLUE RUSTSEAL - 8 FL. OZ.,B00DMIDN38,YUZDENE_B00DMIDN38,KBS COATINGS,4.40,21.29,0.00,,,198.69,198.69,227.08,2,0,8.11,
UNIQUE LOOM OUTDOOR BOTANICAL COLLECTION FLORAL ABSTRACT TRANSITIONAL INDOOR AND OUTDOOR FLATWEAVE YELLOW AREA RUG (4' 0 X 6' 0),B01K6CGCEY,YUZDENE_B01K6CGCEY,UNIQUE LOOM,4.30,0.00,,,,176.14,201.31,201.31,6,0,8.22,
POORBOY'S WORLD HEAVY DUTY ALUMINIUM & METAL POLISH - 16OZ 473ML,B00T0DLHZA,YUZDENE_B00T0DLHZA,POORBOY'S WORLD,4.20,0.00,,,,102.09,102.09,116.68,2,0,4.17,
HUGGER GLOVE COMPANY MOTORCYCLE BLACK GAUNTLET UNLINED COLD/WIND RESISTANT (SMALL),B01ITT8Z2I,YUZDENE_B01ITT8Z2I,HUGGER GLOVE COMPANY,4.70,0.00,,,,102.09,116.68,116.68,2,0,4.76,
"STAUB 40511-477-0 CAST IRON CHISTERA, DARK BLUE, 24 CM",B00MI7NRTE,YUZDENE_B00MI7NRTE,STAUB,4.60,185.66,,,,1063.62,1063.62,1215.56,10,0,43.43,
"MOXI ROLLER SKATES LOLLY ROLLER SKATES,TEAL,7",B00656845Q,YUZDENE_B00656845Q,MOXI,4.70,399.00,0.00,,,2031.63,2321.86,2321.86,10,0,94.82,
"ZINUS TRISHA METAL PLATFORMA BED FRAME WITH HEADBOARD/WOOD SLAT SUPPORT/NO BOX SPRING NEEDED/EASY ASSEMBLY, KING",B074VD7HSF,YUZDENE_B074VD7HSF,ZINUS,4.70,0.00,,,,1112.67,1271.62,1271.62,90,0,51.93,
NICBOBO DRINKS UP! NEOPRENE FLOATING DRINK HOLDER (6-PACK),B077FD3M5W,YUZDENE_B077FD3M5W,NICBOBO,4.30,0.00,,,,142.93,163.35,163.35,4,0,6.67,
AMBIANT PET FRIENDLY SOLID COLOR AREA RUGS BEIGE - 6' SQUARE,B06X16F6XN,YUZDENE_B06X16F6XN,AMBIANT,4.00,37.08,0.00,,,445.67,509.33,509.33,19,0,20.80,
MOPAR 5019411AD THROTTLE POSITION SENSOR,B0049EQSLS,YUZDENE_B0049EQSLS,MOPAR,4.40,91.09,0.00,,,515.41,515.41,589.03,2,0,21.05,
"ALPINESTARS MEN'S SMX-6 V2 VENTED STREET MOTORCYCLE BOOT, BLACK/RED/WHITE, 47",B06XPQQRFY,YUZDENE_B06XPQQRFY,ALPINESTARS,4.70,190.00,0.00,,,1089.53,1245.17,1245.17,12,0,50.85,
"THREE KINGS GIFTS THE ORIGINAL GIFTS OF CHRISTMAS REALISTIC PALM TREE, POLYSTONE FLAT BOTTOM FOR STABILITY, TABLE TOP NATIVITY SCENE FIGURINE, FOR THE 14 INCH SCALE COLLECTION",B076VZ47CS,YUZDENE_B076VZ47CS,THREE KINGS GIFTS THE ORIGINAL GIFTS OF CHRISTMAS,,0.00,,,,219.02,250.31,250.31,9,0,10.22,
"KING BIRD TRAVEL TRAILER RV COVER EXTRA-THICK 4 LAYERS ANTI-UV TOP PANEL, DURABLE CAMPER COVER, FITS 30'-33' MOTORHOME -BREATHABLE, WATER-PROOF, RIP-STOP WITH 2PCS EXTRA STRAPS & 4 TIRE COVERS",B07171H6TM,YUZDENE_B07171H6TM,KING BIRD,4.00,0.00,,,,755.48,863.41,863.41,57,0,35.26,
"FREESOO CAR SEAT COVER, LEATHER SEAT COVERS FULL SET CLASSIC BREATHABLE PADDED AUTOMOTIVE SEAT PROTECTOR MOST SEDAN SUV TRUCK UNIVERSAL WITH PILLOWS (KHAKI BROWN)",B01D2S3IUU,YUZDENE_B01D2S3IUU,FREESOO,4.00,0.00,,,,332.77,380.31,380.31,24,0,15.53,
"RAWLINGS | R16 VELO BASEBALL BATTING HELMET | JUNIOR (6 3/8"" - 7 1/8"") | MATTE DARK GREEN",B010R02KAU,YUZDENE_B010R02KAU,RAWLINGS,4.80,0.00,,,,185.49,211.99,211.99,7,0,8.66,
"AMBESONNE ADVENTURE DUVET COVER SET, NAUTICAL STRIPES ANCHOR AND ARROW TEXT SEA TRAVEL CRUISE, DECORATIVE 3 PIECE BEDDING SET WITH 2 PILLOW SHAMS, KING SIZE, NIGHT BLUE PALE BLUE",B076BQL6W3,YUZDENE_B076BQL6W3,AMBESONNE,4.20,0.00,,,,142.93,163.35,163.35,4,0,6.67,
"ALFI BRAND AB503 WHITE 23"" SMOOTH APRON FIRECLAY SINGLE BOWL FARMHOUSE KITCHEN SINK, 2133",B004J479FC,YUZDENE_B004J479FC,ALFI BRAND,3.60,0.00,,,,853.99,975.99,975.99,69,0,39.86,
